Ticker,Company,Sector,Industry,Country,Market Cap,Price,Change (%),Volume,Price to Earnings Ratio,Price to Earnings,Forward Price to Earnings,Price/Earnings to Growth,Price to Sales,Price to Book,Price to Cash,Price to Free Cash Flow,Earnings Per Share This Year (%),Earnings Per Share Next Year (%),Earnings Per Share Past 5 Years (%),Earnings Per Share Next 5 Years (%),Sales Past 5 Years (%),Dividend (%),Return on Assets (%),Return on Equity (%),Return on Investment (%),Current Ratio,Quick Ratio,Long-Term Debt to Equity,Debt to Equity,Gross Margin (%),Operating Margin (%),Profit Margin,Outstanding Shares,Float,Insider Ownership (%),Insider Transactions (%),Institutional Ownership (%),Float Short (%),Short Ratio,Average Volume,Performance (Week) (%),Performance (Month) (%),Performance (Quarter) (%),Performance (Half Year) (%),Performance (Year) (%),Performance (Year to Date) (%),Volatility (Week) (%),Volatility (Month) (%),Analyst Recommendation,Relative Volume,Beta,Average True Range,Simple Moving Average (20) (%),Simple Moving Average (50) (%),Simple Moving Average (200) (%),Yearly High (%),Yearly Low (%),Relative Strength Index,Change from Open (%),Gap (%),Volume2
AAN,Aarons Company Inc,Industrials,Rental & Leasing Services,USA,316650000,10.44,0.19,52460,35.56,35.39,9.17,-,0.14,0.45,8.04,3.09,-47.26,3.97,,,5.13,4.77,0.51,1.33,0.68,-,-,0.95,0.98,51.15,5.55,0.42%,30620000,29080000,4.13,0.09,-7.42,2.37,1.14,606970,6.53,51.97,3.06,-26.69,-11.9,-12.64,3.93,4.3,2.67,0.54,1.4,0.4,15.51,18.46,-8.58,-35.4,55.36,71.27,0.48,-0.29,52460
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,664910000,18.75,-5.74,1669730,-,-,35.67,-,2.96,3.5,20.83,-,51.82,204.79,,13,-8.05,,-15.85,-33.13,-34.1,0.87,0.51,0.03,0.74,19.58,-25.22,-28.54%,35540000,32510000,8.52,-0.045,-2.99,26.24,3.62,2360000,11.27,90.16,63.38,464.13,751.38,882.01,9.98,11.52,1.67,1.19,1.96,1.46,29.77,73.04,161.34,-6.45,1060,69.88,-6.26,0.2,1669730
AAON,AAON Inc.,Industrials,Building Products & Equipment,USA,5320000000,65.58,0.29,43481,32.1,32.26,27.54,2.69,4.81,7.86,237.88,183.07,71.77,12.21,12.49,12,19.01,0.48,19.59,28.1,21.62,3.03,1.5,0.15,0.15,31.68,18.83,15.18%,80140000,67110000,17.39,-0.01,-0.2,4.68,8.09,388430,2.76,15.3,5.24,4.4,24.32,31.92,2.47,2.7,2,0.51,0.85,1.74,5.15,12.55,6.92,-7.22,41.32,69.68,0.55,0.83,43481
AAP,Advance Auto Parts Inc,Consumer Cyclical,Specialty Retail,USA,3350000000,56.24,-0.08,330615,18.01,18.74,15.18,-,0.31,1.31,10.91,-,-86.7,122.08,5.18,,3.58,3,1.53,6.94,2.8,1.23,0.27,1.51,1.51,41.51,2.85,1.65%,59260000,58910000,1,0.02,-3.49,9.07,2.48,2150000,2.61,1.67,-0.66,-14.67,-61.06,-61.18,4.12,5.11,3.11,1.58,1.11,2.49,6.18,7.44,-30.69,-63.92,19.59,57.88,1.04,0.39,330615
AAPB,GraniteShares 1.75x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,,27.25,-3.55,4819,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,,,-,,,,,,,-,15890,3.18,9.48,13.77,2.77,50.29,79.39,2.16,1.68,-,0.66,2.26,0.63,2.13,10.12,11.68,-8.52,93.61,60.62,-0.22,-1.95,4819
AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,,20.42,2.1,115928,-,-,-,-,-,-,-,-,,,,,,3.05,,,,-,-,-,-,,,-,,,,,,,-,209600,-1.89,-5.19,-8.44,-4.92,-26.78,-32.88,1.26,1.12,-,0.66,-1.33,0.32,-1.27,-5.8,-8.84,-35.77,3.05,39.03,0.1,1.25,115928
AAPL,Apple Inc,Technology,Consumer Electronics,USA,2.98257E+12,191.83,-2.12,28549794,31.29,31.47,27.09,5.12,7.82,48.22,48.71,30.11,6.73,8.83,15.55,6.14,8.34,0.52,27.5,171.95,57.5,0.99,0.94,1.71,1.99,44.13,29.82,25.31%,15550000000,15540000000,0.09,-0.044,-0.48,0.68,1.9,55580000,1.98,5.9,9.57,5.11,35.42,48.68,1.32,1.17,2,1.09,1.3,2.9,1.53,6.45,9.56,-2.55,55.58,62.09,0.08,-1.37,28549794
AAPU,Direxion Daily AAPL Bull 1.5X Shares,Financial,Exchange Traded Fund,USA,,27.6,-3.16,90471,-,-,-,-,-,-,-,-,,,,,,1.31,,,,-,-,-,-,,,-,,,,,,,-,129410,2.8,8.68,12.18,2.99,43.79,67.63,1.95,1.63,-,0.92,1.97,0.6,2.06,9.17,10.85,-6.84,79.49,61.09,-0.14,-1.83,90471
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Financial,Exchange Traded Fund,USA,,26.75,-1.23,393,-,-,-,-,-,-,-,-,,,,,,1.23,,,,-,-,-,-,,,-,,,,,,,-,540,1.34,1.58,,,,7.4,0.1,0.07,-,0.73,-,0.14,0.55,1.61,1.61,-0.81,7.4,68.4,-0.81,0,393
AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1310000000,21.5,-0.12,60749,27.2,27.25,29.89,9.09,3.01,1.08,14.55,13.29,9.72,-8.86,3.16,3,6.27,6.73,1.67,4.12,1.68,-,-,1.43,1.43,35.64,27.47,11.39%,60720000,47370000,22,,-1.81,3.23,4.04,378960,0.52,16.5,4.23,8.99,-20.93,-19.02,2.09,2.69,3.25,0.79,1.27,0.56,8.1,12.88,8.71,-27.82,33.78,69.25,0.14,-0.37,60749
AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,19630000,0.14,-0.72,83426,-,-,-,-,-,0.39,5.69,-,-332.9,,-9.6,,,,-15.2,-17,,22.8,22.8,0.07,0.07,,,-,137220000,131980000,7.2,,0.95,0.1,0.68,195370,0,6.62,14.17,12.49,-39.58,-40.65,3.95,3.29,3,1.78,1.07,0.01,2.09,4.58,0.36,-48.21,37.18,60.83,0,0,83426
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,,64.67,0.36,238430,-,-,-,-,-,-,-,-,,,,,,1.51,,,,-,-,-,-,,,-,,,,,,,-,548880,0.09,2.03,-0.93,-3.93,-2.75,0.36,0.71,0.79,-,1.05,0.69,0.67,-0.6,1.43,-1.46,-11.04,6.41,51.12,0.81,-0.14,238430
AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,3290000000,29.37,-2.15,554262,13.23,13.44,10.66,-,-,1.69,-,11.32,-13.59,10.29,4.26,-3.88,0,8.56,12.56,14.06,12.62,-,-,0,0,,0,-,111800000,109190000,2.34,-0.001,2.77,0.74,2.3,352850,4.78,9.79,-7.48,-11.51,-23.93,-13.24,3.84,3.06,1.83,2.81,1.28,0.89,5.7,3.29,-8.01,-29,15.45,61.3,3.97,-4.5,554262
ABAT,American Battery Technology Company,Basic Materials,Other Industrial Metals & Mining,USA,191280000,4,-0.5,217126,-,-,-,-,-,3.21,35.73,-,,,-46.01,,0,,-37.95,-49.07,-42.92,0.36,0.35,0.03,0.32,,0,-,45890000,44830000,6.14,,20.98,4.79,6.51,330210,-11.45,-8.43,-57.86,-67.71,-50.27,-34.14,7.72,8.57,1,1.61,1.68,0.41,-3.94,-23.78,-59.44,-81.52,20.72,39.82,0.25,0.25,217126
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,2.6836E+11,151.66,1.64,1684402,41.57,41.28,13.49,-,4.83,22.05,20.07,10.78,-18.53,-0.31,14.96,-4.11,16.27,3.77,4.67,46.15,9.57,0.96,0.84,4.6,5.02,71.14,38.37,11.75%,1770000000,1760000000,0.14,-0.03,0.1,0.63,2.25,4950000,4.92,9.56,1.32,9.81,-8.89,-6.42,1.66,1.49,2.04,1.28,0.46,2.47,7.36,5.31,2.91,-10.04,15.49,76.52,0.37,0.94,1684402
ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3250000000,47.1,0.09,82734,11.42,11.45,10.4,1.43,2.34,0.98,-,6.16,-14.77,12.14,20.31,8,26.2,1.27,1.15,8.83,7.44,0.22,-,0.15,0.4,,21.84,20.46%,69370000,65110000,5.71,,0.45,3.04,5.31,372880,1.55,19.98,20.2,33.8,-6.46,-0.15,2.31,3.09,1.57,1,1.09,1.35,8.28,16.98,23.98,-8.9,66.15,73.6,0.28,-0.13,82734
ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,1380000000,4.74,-2.67,547428,-,-,-,-,27.75,1.17,1.72,-,-190.67,-12.22,308.35,10,507.44,,-8.43,-10.62,-10.27,8.34,8.33,0.06,0.07,,-411.53,-256.27%,286850000,197970000,31.78,,11.34,13.87,17.02,1610000,3.23,18.56,-6.81,-35.27,-57,-52.71,6.42,5.98,1.2,0.73,0.28,0.28,5.49,8.85,-21.7,-57.89,23.77,56.2,-1.24,-0.41,547428
ABCM,Abcam ADR,Healthcare,Biotechnology,United Kingdom,4940000000,23.99,0,0,1471.78,1471.78,36.83,4205.08,10.79,6.01,49.21,-,70.35,22.46,,0.35,11.16,,0.3,0.44,0.38,1.35,1,0.12,0.3,69.02,13.18,0.86%,229040000,206000000,,,,1.98,0.7,5850000,0.17,3.36,4.58,39.48,41.12,54.18,0.09,0.35,3,0,0.86,0.11,1.54,3.61,20.1,-5.25,92.23,73.19,0,0,0
ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,113940000,4.62,-3.24,43797,-,-,-,-,32.81,5.3,2.17,-,59.67,21.08,19.64,,7.06,,-73.87,-206.79,-148.47,6.81,6.81,0.18,0.26,2.3,-1316.62,-1085.29%,24770000,23340000,5.8,-0.005,25.94,2.59,4.12,146480,0.43,18.27,11.22,6.15,48.88,51.3,5.22,7.39,1,0.58,1.27,0.31,3.95,9.19,27.37,-13.7,112.79,56.19,-2.1,-0.42,43797
ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,,27.98,0.23,487,-,-,-,-,-,-,-,-,,,,,,2.21,,,,-,-,-,-,,,-,,,,,,,-,17290,-0.75,3.68,-0.34,-0.61,0.14,0.73,0.41,0.36,-,0.15,0.63,0.15,0.96,2.23,0.32,-4.14,4.91,60.69,0.68,-0.25,487
ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,45260000000,2.88,-0.52,4304698,15.37,15.34,14.53,3.2,2.79,2.51,12.86,13.79,4.36,6.08,3.85,4.8,1.4,5.34,10.78,17.08,16,1.11,0.79,0.03,0.04,46.84,20.56,18.24%,15740000000,15740000000,0,,2.2,0.05,0.67,12430000,2.48,6.64,5.86,-6.17,-2.69,6.25,1.86,1.82,2.06,0.67,1.17,0.06,3.68,9.13,2.64,-10.53,20.42,64.02,1.05,-1.04,4304698
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,4440000000,215.44,0.18,14968,5.15,5.2,6.87,-,0.31,1.38,91.52,36.59,-12.18,-4.32,46.4,-0.6,21.02,,11.2,30.56,13.64,2.07,0.82,1.03,1.08,18.75,7.71,6.12%,21570000,20480000,0.47,-0.006,1.4,9.41,12.27,157140,-2.79,9.04,-2.74,-4.51,19.26,20.78,2.73,3.05,1.89,0.5,1.17,6.68,2.24,4,0.3,-15.56,37.49,55.59,0.67,-0.07,14968
ABIO,ARCA biopharma Inc,Healthcare,Biotechnology,USA,25360000,1.79,-1.1,4199,-,-,-,-,-,0.69,0.68,-,,,53.56,,0,,-12.89,-13.44,-14.2,39.21,39.21,0.01,0.01,,0,-,14410000,14220000,1.3,,11.31,1.51,9.94,21570,-1.63,-1.09,-10.84,-14.22,-17.75,-23.63,2.57,3.45,1,0.54,1.25,0.06,-1.64,-5.23,-10.48,-32.96,4.32,41.03,1.69,-1.66,4199
ABL,Abacus Life Inc,Financial,Insurance - Life,USA,454850000,7.18,-6.34,5037,42.33,39.24,-,-,9.76,2.53,4652.71,-,,,,,0,,7.15,9.19,4.64,7.24,0.01,0.72,0.72,,46.56,30.76%,9720000,910000,98.57,0,-24.56,5.56,4.47,11320,-2.11,-1.14,-14.81,-33.97,-31.34,-32.09,6.45,5.96,-,2.34,0.06,0.41,1.96,3.58,-18.59,-39.63,26.14,52.01,-1.43,0,5037
ABLV,Able View Global Inc,Communication Services,Advertising Agencies,China,25030000,2.79,-6.66,76,21.31,22.84,-,-,-,0.39,2682.03,-,,,,,0,,3.26,3.39,1.69,0.74,0.74,0,0,,0,-,8970000,2960000,66.96,,24.06,0.01,0.01,22840,2.4,69.89,4.91,-71.06,,-70.63,7.49,9.3,-,0.14,2.88,0.21,19.29,13.39,-56.83,-77.46,86.87,60.68,2.05,-1.97,76
ABM,ABM Industries Inc.,Industrials,Specialty Business Services,USA,2880000000,43.96,0.6,98634,12.35,12.39,13.42,3.4,0.36,1.55,29.61,16.66,-6.88,-3.64,120.69,3.65,5.59,1.96,4.96,13.41,7.31,1.47,1.47,0.75,0.78,11.89,4.38,2.96%,65590000,64660000,1.33,-0.007,-3.14,1.89,2.78,438650,2.63,11.21,11.86,-1.3,-2.54,-0.86,1.52,1.75,2.62,0.87,1.14,0.79,6.04,7.06,2.2,-11.17,17.1,70.5,0.89,-0.05,98634
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,92320000000,144.07,1.96,1942617,17.45,17.29,32.86,0.79,9.52,9.99,8.32,21.54,183.3,-45.07,,22,32.4,,29.11,74.47,47.99,1.78,1.78,0.25,0.25,73.14,23.72,56.87%,640050000,412000000,35.63,-0.021,-1.19,6.08,3.77,6630000,6.89,23.71,-3.11,14.7,50.7,67.15,2.86,3.06,2.64,0.69,1.22,4.43,10.47,13.92,13.31,-7.77,74.47,71.16,1.1,0.48,1942617
ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,160990000,2.78,0.36,93833,-,-,-,-,-,0.56,0.73,-,-4.34,-26.04,,9.7,-38.46,,-19.91,-20.44,-17.39,35.85,35.85,0,0,,0,-,41030000,40310000,30.4,0.4,4.3,1.29,1.07,485420,1.12,46.24,-50.81,-47.59,-52.45,-49.63,5.23,7.09,1,1.04,-0.36,0.18,13.22,-6.7,-42.49,-75.95,50.27,54.08,-1.81,0,93833
ABR,Arbor Realty Trust Inc.,Real Estate,REIT - Mortgage,USA,2630000000,13.95,2.53,1535381,7.89,8.05,7.83,1,1.68,1.08,2.04,5.78,-2.24,-16.59,8.35,8,26.38,11.92,2.19,12.42,2.25,-,-,3.68,3.95,99.07,85.26,20.42%,188500000,181860000,3.52,0.003,0.03,29.81,12.41,4370000,1.73,9.64,-10.42,0.5,1.22,6.9,4.31,3.81,2.83,1.12,1.97,0.56,9.6,5.93,2.57,-20.52,39.6,61.06,2.17,1.1,1535381
ABSI,Absci Corp,Healthcare,Biotechnology,USA,200750000,2.15,-6.39,566056,-,-,-,-,30.33,1.07,1.63,-,5.36,33.69,,23.3,50.75,,-36.99,-43.52,-51.17,4.82,4.82,0.06,0.09,-103.27,-1305.09,-1535.13%,92410000,68130000,26.7,,3.75,3.38,5.34,430730,17.86,81.89,43.48,38.32,-20.62,10,14.4,10.75,1.33,2.36,1.57,0.2,41.03,59.85,40.22,-36.36,107.9,78.69,-1.28,1.74,566056
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,1.838E+11,105.82,1.21,1511349,35.98,36.05,22.96,-,4.61,4.91,26.13,40.99,-16.92,4.18,71.02,-2,10.05,1.88,7.1,14.06,9.9,1.74,1.23,0.39,0.41,49.44,15.09,12.87%,1740000000,1720000000,0.7,0,0.27,0.7,2.05,5890000,0.98,13.54,3.73,4.75,-0.65,-3.25,1.29,1.52,1.75,0.88,0.72,1.59,4.45,8.95,3.21,-8.3,18.45,71.14,1.38,0.25,1511349
ABTS,Abits Group Inc,Communication Services,Advertising Agencies,China,36400000,1.02,-3.4,14020,-,-,-,-,-,1.76,23.32,-,,,29.82,,,,,,,9.28,9.28,0,0,,,-,,29620000,16.68,,-27.88,0.94,13.61,20440,-9.17,15.04,7.85,15.79,25.32,119.41,13.93,11.11,-,1.29,3.13,0.1,-0.88,5.45,1.35,-45,131.36,50.11,-5.71,-0.94,14020
ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,343760000,2.05,-0.97,237622,-,-,-,-,15.61,2.91,2.6,-,3.04,1.79,21.66,,57.14,,-41.64,-56.99,-58.53,6.34,6.34,0.08,0.08,93.92,-352.8,-339.32%,157460000,125840000,24.96,,4.87,5.35,10.2,660070,-0.49,13.89,0.99,-16.33,-24.63,-12.02,2.92,4.53,1.4,0.78,1.93,0.08,6.94,9.54,-11.08,-34.82,21.3,62.46,0,-0.97,237622
ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,USA,7520000,1.04,-12.61,203312,-,-,-,-,10.45,0.53,6.5,-,,,-7.69,,2020.61,,-83.66,-142.03,-102.77,0.46,0.46,0.22,0.4,39.31,-1269.91,-1659.59%,7230000,4170000,42.39,,-85.78,2.1,0.03,2530000,-27.59,-2.78,-7.08,-83.06,-85.92,-83.2,10.39,16.05,3,0.14,0.68,0.2,-27.69,-11.18,-73.34,-94.39,55.81,39.65,-11.02,-0.84,203312
ABVX,Abivax ADR,Healthcare,Biotechnology,France,634640000,10.13,-3.43,3611,-,-,-,-,-,115.48,22.46,-,34.82,9.64,-20.75,,0,,-74.18,-222.93,-236.38,1.72,1.28,0.44,0.57,,0,-,22300000,,,,,,1.64,356350,1.46,3.17,,,,25.54,4.34,5.67,1.29,0.1,-,0.59,0.14,4.33,4.33,-10.17,30.33,60.27,1.51,-2.14,3611
AC,Associated Capital Group Inc,Financial,Asset Management,USA,734710000,34.4,0.51,1386,21.73,21.63,-,-,14.21,0.83,1.93,-,,,,,8.29,0.58,3.64,3.92,3.88,-,-,0,0,,44.07,66.32%,3030000,2590000,88.01,0,-0.1,0.44,1.42,8040,2.66,1.9,-7.35,-2.67,-18.1,-18.31,2.3,1.74,-,0.43,0.97,0.69,2.42,0.98,-4.51,-20.18,10.61,60.05,0.38,-0.15,1386
ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,3790000000,77.92,0.05,14294,13.24,13.27,23.8,3.24,1.71,1.65,24.59,-,38.9,7.82,22.37,4.1,9.12,0.26,8.31,13.14,10.03,2.35,1.46,0.23,0.24,18.96,7.25,12.83%,48400000,47970000,1.63,-0.058,-1.05,0.93,1.9,234690,2.79,15.59,3.59,7.16,32.52,44.52,1.86,1.82,1.4,0.55,0.64,1.56,5.95,10.39,12.06,-1.07,50.9,71.81,0.73,0.24,14294
ACAB,Atlantic Coastal Acquisition Corp II,Financial,Shell Companies,USA,116510000,10.65,0,0,66.11,66.11,-,-,-,5.4,52.25,-,,,,,0,,2.89,3.14,23.12,0.38,0.38,0,0,,0,-,30000000,3140000,71.33,,12.31,0.03,0.06,16800,0.47,0.75,2.01,3.49,7.28,4.81,0.06,0.06,-,0,0,0.02,0.68,0.95,3.14,-3.91,9.09,70.76,0,0.28,0
ACAC,Acri Capital Acquisition Corp,Financial,Shell Companies,USA,59290000,10.96,0,0,84.76,84.84,-,-,-,1.89,1186.95,-,,,,,,,1.53,1.63,3.06,0.04,0.04,0,0.04,,0,-,8620000,2950000,53.3,,,0.31,0.75,12130,0,0.36,1.57,7.13,,7.34,0.05,1.14,-,2.76,0.04,0.09,0.05,0.41,3.93,-1.44,11.03,52.63,0.04,0.05,0
ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,3450000000,21,-0.02,311166,-,-,22.8,-,5.5,9.57,10.05,-,75.01,377.38,10.76,,35.48,,-24.1,-37.78,-36.27,2.38,2.28,0.13,0.16,95.86,-24.43,-23.55%,164180000,163060000,0.68,-0.195,0.88,4.78,4.79,1620000,-7.7,-4.18,-19.32,-14.3,44.16,32.47,3.55,2.91,1.89,0.91,0.52,0.76,-5.35,-6.12,-10.31,-37.95,45.7,39.46,-0.38,0.91,311166
